ID,i_node,j_node,length
B0,N111,N48,6.0
B1,N112,N49,6.0
B2,N113,N50,6.0
B3,N114,N51,6.0
B4,N115,N52,6.0
B5,N77,N88,6.0
B6,N78,N89,6.0
B7,N79,N90,6.0
B8,N80,N91,6.0
B9,N81,N92,6.0
B10,N116,N117,3.0
B11,N0,N118,3.0
B12,N1,N119,3.0
B13,N2,N120,3.0
B14,N3,N121,3.0
B15,N122,N123,6.0
B16,N124,N125,6.0
B17,N126,N127,6.0
B18,N128,N129,6.0
B19,N130,N131,6.0
B20,N37,N71,4.448
B21,N38,N72,4.448
B22,N39,N73,4.448
B23,N40,N74,4.448
B24,N41,N75,4.448
B25,N132,N133,2.98
B26,N15,N5,2.98
B27,N16,N6,2.98
B28,N17,N7,2.98
B29,N18,N8,2.98
B30,N65,N134,4.219
B31,N66,N135,4.219
B32,N67,N136,4.219
B33,N68,N137,4.219
B34,N69,N138,4.219
B35,N139,N140,3.0
B36,N83,N141,3.0
B37,N84,N142,3.0
B38,N85,N143,3.0
B39,N86,N144,3.0
B40,N139,N37,2.426
B41,N83,N38,2.426
B42,N84,N39,2.426
B43,N85,N40,2.426
B44,N86,N41,2.426
B45,N145,N146,5.091
B46,N147,N43,5.091
B47,N148,N44,5.091
B48,N149,N45,5.091
B49,N150,N46,5.091
B50,N20,N77,2.56
B51,N21,N78,2.56
B52,N22,N79,2.56
B53,N23,N80,2.56
B54,N24,N81,2.56
B55,N151,N116,4.219
B56,N152,N0,4.219
B57,N153,N1,4.219
B58,N154,N2,4.219
B59,N155,N3,4.219
B60,N156,N145,1.992
B61,N157,N147,1.992
B62,N158,N148,1.992
B63,N159,N149,1.992
B64,N160,N150,1.992
B65,N145,N161,6.0
B66,N147,N162,6.0
B67,N148,N163,6.0
B68,N149,N164,6.0
B69,N150,N165,6.0
B70,N133,N166,0.2
B71,N5,N167,0.2
B72,N6,N168,0.2
B73,N7,N169,0.2
B74,N8,N170,0.2
B75,N59,N65,3.0
B76,N60,N66,3.0
B77,N61,N67,3.0
B78,N62,N68,3.0
B79,N63,N69,3.0
B80,N99,N105,3.0
B81,N100,N106,3.0
B82,N101,N107,3.0
B83,N102,N108,3.0
B84,N103,N109,3.0
B85,N111,N139,4.176
B86,N112,N83,4.176
B87,N113,N84,4.176
B88,N114,N85,4.176
B89,N115,N86,4.176
B90,N161,N171,5.091
B91,N162,N172,5.091
B92,N163,N173,5.091
B93,N164,N174,5.091
B94,N165,N175,5.091
B95,N59,N151,4.219
B96,N60,N152,4.219
B97,N61,N153,4.219
B98,N62,N154,4.219
B99,N63,N155,4.219
B100,N176,N71,2.426
