ID,i_node,j_node,length
C0,N0,N1,2.5
C1,N1,N2,2.5
C2,N2,N3,2.5
C3,N3,N4,2.5
C4,N5,N6,2.5
C5,N6,N7,2.5
C6,N7,N8,2.5
C7,N8,N9,2.5
C8,N10,N11,2.5
C9,N11,N12,2.5
C10,N12,N13,2.5
C11,N13,N14,2.5
C12,N15,N16,2.5
C13,N16,N17,2.5
C14,N17,N18,2.5
C15,N18,N19,2.5
C16,N20,N21,2.5
C17,N21,N22,2.5
C18,N22,N23,2.5
C19,N23,N24,2.5
C20,N24,N25,2.5
C21,N26,N27,2.5
C22,N27,N28,2.5
C23,N28,N29,2.5
C24,N29,N30,2.5
C25,N31,N32,2.5
C26,N32,N33,2.5
C27,N33,N34,2.5
C28,N34,N35,2.5
C29,N35,N36,2.5
C30,N37,N38,2.5
C31,N38,N39,2.5
C32,N39,N40,2.5
C33,N40,N41,2.5
C34,N41,N42,2.5
C35,N43,N44,2.5
C36,N44,N45,2.5
C37,N45,N46,2.5
C38,N46,N47,2.5
C39,N48,N49,2.5
C40,N49,N50,2.5
C41,N50,N51,2.5
C42,N51,N52,2.5
C43,N52,N53,2.5
C44,N54,N55,2.5
C45,N55,N56,2.5
C46,N56,N57,2.5
C47,N57,N58,2.5
C48,N59,N60,2.5
C49,N60,N61,2.5
C50,N61,N62,2.5
C51,N62,N63,2.5
C52,N63,N64,2.5
C53,N65,N66,2.5
C54,N66,N67,2.5
C55,N67,N68,2.5
C56,N68,N69,2.5
C57,N69,N70,2.5
C58,N71,N72,2.5
C59,N72,N73,2.5
C60,N73,N74,2.5
C61,N74,N75,2.5
C62,N75,N76,2.5
C63,N77,N78,2.5
C64,N78,N79,2.5
C65,N79,N80,2.5
C66,N80,N81,2.5
C67,N81,N82,2.5
C68,N83,N84,2.5
C69,N84,N85,2.5
C70,N85,N86,2.5
C71,N86,N87,2.5
C72,N88,N89,2.5
C73,N89,N90,2.5
C74,N90,N91,2.5
C75,N91,N92,2.5
C76,N92,N93,2.5
C77,N94,N95,2.5
C78,N95,N96,2.5
C79,N96,N97,2.5
C80,N97,N98,2.5
C81,N99,N100,2.5
C82,N100,N101,2.5
C83,N101,N102,2.5
C84,N102,N103,2.5
C85,N103,N104,2.5
C86,N105,N106,2.5
C87,N106,N107,2.5
C88,N107,N108,2.5
C89,N108,N109,2.5
C90,N109,N110,2.5
