ID,X,Y,Z
N0,1.26799,3.0,-10.0
N1,1.26799,3.0,-7.5
N2,1.26799,3.0,-5.0
N3,1.26799,3.0,-2.5
N4,1.26799,3.0,0.0
N5,-4.15137,2.98043,-10.0
N6,-4.15137,2.98043,-7.5
N7,-4.15137,2.98043,-5.0
N8,-4.15137,2.98043,-2.5
N9,-4.15137,2.98043,0.0
N10,3.26046,0.0,-10.0
N11,3.26046,0.0,-7.5
N12,3.26046,0.0,-5.0
N13,3.26046,0.0,-2.5
N14,3.26046,0.0,0.0
N15,-4.15137,0.0,-10.0
N16,-4.15137,0.0,-7.5
N17,-4.15137,0.0,-5.0
N18,-4.15137,0.0,-2.5
N19,-4.15137,0.0,0.0
N20,-2.56049,0.0,-12.5
N21,-2.56049,0.0,-10.0
N22,-2.56049,0.0,-7.5
N23,-2.56049,0.0,-5.0
N24,-2.56049,0.0,-2.5
N25,-2.56049,0.0,0.0
N26,3.26046,6.0,-10.0
N27,3.26046,6.0,-7.5
N28,3.26046,6.0,-5.0
N29,3.26046,6.0,-2.5
N30,3.26046,6.0,0.0
N31,-2.56049,6.0,-12.5
N32,-2.56049,6.0,-10.0
N33,-2.56049,6.0,-7.5
N34,-2.56049,6.0,-5.0
N35,-2.56049,6.0,-2.5
N36,-2.56049,6.0,0.0
N37,14.03745,0.0,-12.5
N38,14.03745,0.0,-10.0
N39,14.03745,0.0,-7.5
N40,14.03745,0.0,-5.0
N41,14.03745,0.0,-2.5
N42,14.03745,0.0,0.0
N43,8.35117,0.0,-10.0
N44,8.35117,0.0,-7.5
N45,8.35117,0.0,-5.0
N46,8.35117,0.0,-2.5
N47,8.35117,0.0,0.0
N48,7.43605,6.0,-12.5
N49,7.43605,6.0,-10.0
N50,7.43605,6.0,-7.5
N51,7.43605,6.0,-5.0
N52,7.43605,6.0,-2.5
N53,7.43605,6.0,0.0
N54,11.61163,4.44829,-10.0
N55,11.61163,4.44829,-7.5
N56,11.61163,4.44829,-5.0
N57,11.61163,4.44829,-2.5
N58,11.61163,4.44829,0.0
N59,-7.17073,3.0,-12.5
