ID,i_node,j_node,length
B0,N52,N53,3.6173349999999997
B1,N54,N55,3.6173349999999997
B2,N56,N57,3.6173349999999997
B3,N58,N52,1.267994
B4,N59,N58,1.779045
B5,N60,N54,1.267994
B6,N61,N60,1.779045
B7,N62,N56,1.267994
B8,N63,N62,1.779045
B9,N40,N58,6.84157
B10,N64,N65,2.9761569999999997
B11,N65,N58,1.8702240000000003
B12,N66,N60,6.84157
B13,N67,N68,2.9761569999999997
B14,N68,N60,1.8702240000000003
B15,N69,N62,6.84157
B16,N70,N71,2.9761569999999997
B17,N71,N62,1.8702240000000003
B18,N24,N72,6.84157
B19,N73,N74,2.484943
B20,N75,N72,1.1998389999999999
B21,N74,N75,1.810035
B22,N76,N77,6.84157
B23,N78,N79,2.484943
B24,N80,N77,1.1998389999999999
B25,N79,N80,1.810035
B26,N81,N82,6.84157
B27,N83,N84,2.484943
B28,N85,N82,1.1998389999999999
B29,N84,N85,1.810035
B30,N40,N24,3.260468
B31,N66,N76,3.260468
B32,N69,N81,3.260468
B33,N36,N28,3.260468
B34,N86,N28,4.000000000115023e-06
B35,N87,N88,3.260468
B36,N89,N88,4.000000000115023e-06
B37,N90,N91,3.260468
B38,N92,N91,4.000000000115023e-06
B39,N58,N72,3.260468
B40,N52,N72,1.9924739999999999
B41,N60,N77,3.260468
B42,N54,N77,1.9924739999999999
B43,N62,N82,3.260468
B44,N56,N82,1.9924739999999999
B45,N32,N93,6.841569000000001
B46,N94,N95,3.0085060000000006
B47,N32,N94,1.810035
B48,N96,N97,6.841569000000001
B49,N98,N99,3.0085060000000006
B50,N96,N98,1.810035
B51,N100,N101,6.841569000000001
B52,N102,N103,3.0085060000000006
B53,N100,N102,1.810035
B54,N0,N104,6.841569000000001
B55,N105,N106,6.841569000000001
B56,N107,N108,6.841569000000001
B57,N32,N0,3.2604670000000002
B58,N96,N105,3.2604670000000002
B59,N100,N107,3.2604670000000002
B60,N16,N44,3.2604670000000002
B61,N109,N110,3.2604670000000002
B62,N111,N112,3.2604670000000002
B63,N93,N104,3.2604670000000002
B64,N97,N106,3.2604670000000002
B65,N101,N108,3.2604670000000002
B66,N113,N114,2.484943
B67,N115,N116,2.484943
B68,N117,N118,2.484943
B69,N119,N120,2.484943
B70,N121,N122,2.484943
B71,N123,N124,2.484943
B72,N125,N0,2.484943
B73,N126,N105,2.484943
B74,N127,N107,2.484943
B75,N113,N73,4.000000000115023e-06
B76,N113,N125,8.351168999999999
B77,N20,N125,5.090698
B78,N115,N78,4.000000000115023e-06
B79,N115,N126,8.351168999999999
B80,N128,N126,5.090698
B81,N117,N83,4.000000000115023e-06
B82,N117,N127,8.351168999999999
B83,N114,N74,4.000000000115023e-06
B84,N114,N0,8.351168999999999
B85,N74,N32,5.090698
B86,N116,N79,4.000000000115023e-06
B87,N116,N105,8.351168999999999
B88,N79,N96,5.090698
B89,N118,N84,4.000000000115023e-06
B90,N118,N107,8.351168999999999
B91,N84,N100,5.090698
B92,N8,N20,3.008507
B93,N129,N128,3.008507
B94,N4,N125,3.008507
B95,N130,N126,3.008507
B96,N8,N4,5.090698
B97,N129,N130,5.090698
B98,N131,N127,5.090698
B99,N75,N132,3.0085060000000006
B100,N72,N132,1.8086670000000007
B101,N80,N133,3.0085060000000006
B102,N77,N133,1.8086670000000007
B103,N85,N134,3.0085060000000006
B104,N82,N134,1.8086670000000007
B105,N75,N94,5.090698
B106,N80,N98,5.090698
B107,N85,N102,5.090698
B108,N132,N95,5.090698
B109,N133,N99,5.090698
B110,N134,N103,5.090698
B111,N135,N136,2.9761569999999997
B112,N137,N138,2.9761569999999997
B113,N139,N140,2.9761569999999997
B114,N135,N64,2.560493
B115,N137,N67,2.560493
B116,N139,N70,2.560493
B117,N136,N65,2.560493
B118,N141,N65,1.779045
B119,N138,N68,2.560493
B120,N142,N68,1.779045
B121,N140,N71,2.560493
B122,N143,N71,1.779045
B123,N72,N144,3.6173349999999997
B124,N77,N145,3.6173349999999997
B125,N82,N146,3.6173349999999997
B126,N53,N144,1.9924739999999999
B127,N55,N145,1.9924739999999999
B128,N57,N146,1.9924739999999999
B129,N12,N147,2.484943
B130,N148,N149,2.484943
B131,N125,N12,2.42582
B132,N126,N148,2.42582
B133,N0,N147,2.42582
B134,N105,N149,2.42582
B135,N141,N59,1.8702240000000003
B136,N142,N61,1.8702240000000003
B137,N143,N63,1.8702240000000003
