ID,i_node,j_node,length
C0,N0,N1,2.8
C1,N2,N3,2.5999999999999996
C2,N4,N5,1.3
C3,N6,N7,1.0999999999999999
C4,N8,N9,1.3
C5,N10,N11,1.0999999999999999
C6,N12,N13,2.024145
C7,N14,N15,1.8241449999999997
C8,N16,N17,2.8
C9,N18,N19,2.5999999999999996
C10,N20,N21,2.8
C11,N22,N23,2.5999999999999996
C12,N24,N25,2.8
C13,N26,N27,2.5999999999999996
C14,N28,N29,2.8
C15,N30,N31,2.5999999999999996
C16,N32,N33,2.8
C17,N34,N35,2.5999999999999996
C18,N36,N37,2.8
C19,N38,N39,2.5999999999999996
C20,N40,N41,2.8
C21,N42,N43,2.5999999999999996
C22,N44,N45,2.8
C23,N46,N47,2.5999999999999996
C24,N48,N49,2.8
C25,N50,N51,2.5999999999999996
