ID,X,Y,Z
N0,11.611633,3.831696,0.2
N1,11.611633,3.831696,3.0
N2,11.611633,3.831696,3.2
N3,11.611633,3.831696,5.8
N4,11.611633,-1.661754,0.2
N5,11.611633,-1.661754,1.5
N6,11.611633,-1.661754,1.7
N7,11.611633,-1.661754,2.8
N8,6.520935,-1.661754,0.2
N9,6.520935,-1.661754,1.5
N10,6.520935,-1.661754,1.7
N11,6.520935,-1.661754,2.8
N12,14.037453,1.346753,0.2
N13,14.037453,1.346753,2.224145
N14,14.037453,1.346753,2.424145
N15,14.037453,1.346753,4.24829
N16,8.351166,7.252481,0.2
N17,8.351166,7.252481,3.0
N18,8.351166,7.252481,3.2
N19,8.351166,7.252481,5.8
N20,6.520935,1.346753,0.2
N21,6.520935,1.346753,3.0
N22,6.520935,1.346753,3.2
N23,6.520935,1.346753,5.8
N24,3.260468,0.0,0.2
N25,3.260468,0.0,3.0
N26,3.260468,0.0,3.2
N27,3.260468,0.0,5.8
N28,3.260468,3.420785,0.2
N29,3.260468,3.420785,3.0
N30,3.260468,3.420785,3.2
N31,3.260468,3.420785,5.8
N32,8.351166,3.831696,0.2
N33,8.351166,3.831696,3.0
N34,8.351166,3.831696,3.2
N35,8.351166,3.831696,5.8
N36,0.0,3.420785,0.2
N37,0.0,3.420785,3.0
N38,0.0,3.420785,3.2
N39,0.0,3.420785,5.8
N40,0.0,0.0,0.2
N41,0.0,0.0,3.0
N42,0.0,0.0,3.2
N43,0.0,0.0,5.8
N44,11.611633,7.252481,0.2
N45,11.611633,7.252481,3.0
N46,11.611633,7.252481,3.2
N47,11.611633,7.252481,5.8
N48,10.0,10.0,0.2
N49,10.0,10.0,3.0
N50,10.0,10.0,3.2
N51,10.0,10.0,5.8
N52,1.267994,6.84157,0.2
N53,1.267994,10.458905,0.2
N54,1.267994,6.84157,2.972414
N55,1.267994,10.458905,2.972414
N56,1.267994,6.84157,5.544829
N57,1.267994,10.458905,5.544829
N58,0.0,6.84157,0.2
N59,-1.779045,6.84157,0.2
N60,0.0,6.84157,2.972414
N61,-1.779045,6.84157,2.972414
N62,0.0,6.84157,5.544829
N63,-1.779045,6.84157,5.544829
N64,0.0,1.995189,0.2
N65,0.0,4.971346,0.2
N66,0.0,0.0,2.972414
N67,0.0,1.995189,2.972414
N68,0.0,4.971346,2.972414
N69,0.0,0.0,5.544829
N70,0.0,1.995189,5.544829
N71,0.0,4.971346,5.544829
N72,3.260468,6.84157,0.2
N73,3.260468,1.346753,0.2
N74,3.260468,3.831696,0.2
N75,3.260468,5.641731,0.2
N76,3.260468,0.0,2.972414
N77,3.260468,6.84157,2.972414
N78,3.260468,1.346753,2.972414
N79,3.260468,3.831696,2.972414
N80,3.260468,5.641731,2.972414
N81,3.260468,0.0,5.544829
N82,3.260468,6.84157,5.544829
N83,3.260468,1.346753,5.544829
N84,3.260468,3.831696,5.544829
N85,3.260468,5.641731,5.544829
N86,3.260464,3.420785,0.2
N87,0.0,3.420785,2.972414
N88,3.260468,3.420785,2.972414
N89,3.260464,3.420785,2.972414
N90,0.0,3.420785,5.544829
N91,3.260468,3.420785,5.544829
N92,3.260464,3.420785,5.544829
N93,8.351166,10.673265,0.2
N94,8.351166,5.641731,0.2
N95,8.351166,8.650237,0.2
N96,8.351166,3.831696,2.972414
N97,8.351166,10.673265,2.972414
N98,8.351166,5.641731,2.972414
N99,8.351166,8.650237,2.972414
N100,8.351166,3.831696,5.544829
N101,8.351166,10.673265,5.544829
N102,8.351166,5.641731,5.544829
N103,8.351166,8.650237,5.544829
N104,11.611633,10.673265,0.2
N105,11.611633,3.831696,2.972414
N106,11.611633,10.673265,2.972414
N107,11.611633,3.831696,5.544829
N108,11.611633,10.673265,5.544829
N109,8.351166,7.252481,2.972414
N110,11.611633,7.252481,2.972414
N111,8.351166,7.252481,5.544829
N112,11.611633,7.252481,5.544829
N113,3.260464,1.346753,0.2
N114,3.260464,3.831696,0.2
N115,3.260464,1.346753,2.972414
N116,3.260464,3.831696,2.972414
N117,3.260464,1.346753,5.544829
N118,3.260464,3.831696,5.544829
N119,7.436049,1.346753,0.2
N120,7.436049,3.831696,0.2
N121,7.436049,1.346753,2.972414
N122,7.436049,3.831696,2.972414
N123,7.436049,1.346753,5.544829
N124,7.436049,3.831696,5.544829
N125,11.611633,1.346753,0.2
N126,11.611633,1.346753,2.972414
N127,11.611633,1.346753,5.544829
N128,6.520935,1.346753,2.972414
N129,6.520935,-1.661754,2.972414
N130,11.611633,-1.661754,2.972414
N131,6.520935,1.346753,5.544829
N132,3.260468,8.650237,0.2
N133,3.260468,8.650237,2.972414
N134,3.260468,8.650237,5.544829
N135,-2.560493,1.995189,0.2
N136,-2.560493,4.971346,0.2
N137,-2.560493,1.995189,2.972414
N138,-2.560493,4.971346,2.972414
N139,-2.560493,1.995189,5.544829
N140,-2.560493,4.971346,5.544829
N141,-1.779045,4.971346,0.2
N142,-1.779045,4.971346,2.972414
N143,-1.779045,4.971346,5.544829
N144,3.260468,10.458905,0.2
N145,3.260468,10.458905,2.972414
N146,3.260468,10.458905,5.544829
N147,14.037453,3.831696,0.2
N148,14.037453,1.346753,2.972414
N149,14.037453,3.831696,2.972414
