ID,i_node,j_node
B0,N1,N10
B1,N10,N29
B2,N29,N53
B3,N4,N13
B4,N13,N32
B5,N32,N56
B6,N7,N16
B7,N16,N35
B8,N35,N61
B9,N1,N4
B10,N4,N7
B11,N10,N13
B12,N13,N16
B13,N29,N32
B14,N32,N35
B15,N53,N56
B16,N56,N61
B17,N38,N64
B18,N44,N70
B19,N50,N78
B20,N38,N44
B21,N44,N50
B22,N64,N70
B23,N70,N78
B24,N72,N92
B25,N92,N103
B26,N75,N94
B27,N94,N106
B28,N72,N75
B29,N92,N94
B30,N103,N106
B31,N75,N97
B32,N81,N100
B33,N75,N81
B34,N97,N100
B35,N19,N41
B36,N22,N47
B37,N19,N22
B38,N41,N47
B39,N53,N78
B40,N58,N84
B41,N53,N58
B42,N78,N84
B43,N67,N87
B44,N72,N89
B45,N67,N72
B46,N87,N89
B47,N24,N47
B48,N26,N50
B49,N24,N26
B50,N47,N50
B51,N2,N11
B52,N11,N30
B53,N30,N54
B54,N5,N14
B55,N14,N33
B56,N33,N57
B57,N8,N17
B58,N17,N36
B59,N36,N62
B60,N2,N5
B61,N5,N8
B62,N11,N14
B63,N14,N17
B64,N30,N33
B65,N33,N36
B66,N54,N57
B67,N57,N62
B68,N39,N65
B69,N45,N71
B70,N51,N79
B71,N39,N45
B72,N45,N51
B73,N65,N71
B74,N71,N79
B75,N73,N93
B76,N93,N104
B77,N76,N95
B78,N95,N107
B79,N73,N76
B80,N93,N95
B81,N104,N107
B82,N76,N98
B83,N82,N101
B84,N76,N82
B85,N98,N101
B86,N20,N42
B87,N23,N48
B88,N20,N23
B89,N42,N48
B90,N54,N79
B91,N59,N85
B92,N54,N59
B93,N79,N85
B94,N68,N88
B95,N73,N90
B96,N68,N73
B97,N88,N90
B98,N25,N48
B99,N27,N51
B100,N25,N27
B101,N48,N51
