ID,i_node,j_node
C0,N0,N1
C1,N3,N4
C2,N6,N7
C3,N9,N10
C4,N12,N13
C5,N15,N16
C6,N28,N29
C7,N31,N32
C8,N34,N35
C9,N52,N53
C10,N55,N56
C11,N60,N61
C12,N37,N38
C13,N43,N44
C14,N63,N64
C15,N69,N70
C16,N77,N78
C17,N49,N50
C18,N91,N92
C19,N102,N103
C20,N105,N106
C21,N74,N75
C22,N99,N100
C23,N96,N97
C24,N80,N81
C25,N18,N19
C26,N21,N22
C27,N40,N41
C28,N46,N47
C29,N83,N84
C30,N86,N87
C31,N66,N67
C32,N1,N2
C33,N4,N5
C34,N7,N8
C35,N10,N11
C36,N13,N14
C37,N16,N17
C38,N29,N30
C39,N32,N33
C40,N35,N36
C41,N53,N54
C42,N56,N57
C43,N61,N62
C44,N38,N39
C45,N44,N45
C46,N64,N65
C47,N70,N71
C48,N78,N79
C49,N50,N51
C50,N92,N93
C51,N103,N104
C52,N106,N107
C53,N75,N76
C54,N100,N101
C55,N97,N98
C56,N81,N82
C57,N19,N20
C58,N22,N23
C59,N41,N42
C60,N47,N48
C61,N84,N85
C62,N87,N88
C63,N67,N68
