start_x,start_y,start_z,end_x,end_y,end_z
-3.0,3.0,0.0,0.0,3.0,0.0
0.0,3.0,0.0,0.0,3.0,3.0
-3.0,3.0,3.0,0.0,3.0,3.0
-3.0,3.0,0.0,-3.0,3.0,3.0
0.0,3.0,0.0,0.0,3.0,3.0
0.0,3.0,0.0,0.0,6.0,0.0
0.0,6.0,0.0,0.0,6.0,3.0
0.0,3.0,3.0,0.0,6.0,3.0
0.0,6.0,0.0,0.0,6.0,3.0
0.0,6.0,0.0,-3.0,6.0,0.0
-3.0,6.0,0.0,-3.0,6.0,3.0
0.0,6.0,3.0,-3.0,6.0,3.0
-3.0,3.0,0.0,-3.0,3.0,3.0
-3.0,6.0,0.0,-3.0,6.0,3.0
-3.0,6.0,0.0,-3.0,3.0,0.0
-3.0,6.0,3.0,-3.0,3.0,3.0
-3.0,3.0,0.0,0.0,3.0,0.0
0.0,3.0,0.0,0.0,6.0,0.0
0.0,6.0,0.0,-3.0,6.0,0.0
-3.0,6.0,0.0,-3.0,3.0,0.0
-3.0,3.0,3.0,0.0,3.0,3.0
0.0,3.0,3.0,0.0,6.0,3.0
0.0,6.0,3.0,-3.0,6.0,3.0
-3.0,6.0,3.0,-3.0,3.0,3.0
0.0,3.0,0.0,3.0,3.0,0.0
3.0,3.0,0.0,3.0,3.0,3.0
0.0,3.0,3.0,3.0,3.0,3.0
0.0,3.0,0.0,0.0,3.0,3.0
3.0,3.0,0.0,3.0,3.0,3.0
3.0,3.0,0.0,3.0,6.0,0.0
3.0,6.0,0.0,3.0,6.0,3.0
3.0,3.0,3.0,3.0,6.0,3.0
3.0,6.0,0.0,3.0,6.0,3.0
3.0,6.0,0.0,0.0,6.0,0.0
0.0,6.0,0.0,0.0,6.0,3.0
3.0,6.0,3.0,0.0,6.0,3.0
0.0,3.0,0.0,0.0,3.0,3.0
0.0,6.0,0.0,0.0,6.0,3.0
0.0,6.0,0.0,0.0,3.0,0.0
0.0,6.0,3.0,0.0,3.0,3.0
0.0,3.0,0.0,3.0,3.0,0.0
3.0,3.0,0.0,3.0,6.0,0.0
3.0,6.0,0.0,0.0,6.0,0.0
0.0,6.0,0.0,0.0,3.0,0.0
0.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,3.0,3.0,6.0,3.0
3.0,6.0,3.0,0.0,6.0,3.0
0.0,6.0,3.0,0.0,3.0,3.0
2.999987640351348,1.4681466126439418,3.0,2.999987640351348,1.4681466126439418,3.0
2.999987640351348,1.4681466126439418,3.0,2.999987640351348,1.4681466126439418,3.0
2.999987640351348,1.4681466126439418,3.0,2.999987640351348,1.4681466126439418,0.0
2.999987640351348,1.4681466126439418,0.0,2.999987640351348,1.4681466126439418,0.0
2.999987640351348,1.4681466126439418,0.0,2.999987640351348,1.4681466126439418,0.0
-1.2800197082663143,0.0,3.0,3.0,0.0,3.0
3.0,0.0,3.0,3.0,0.0,5.237047188445432
-1.2800197082663143,0.0,6.0,3.0,0.0,5.237047188445432
-1.2800197082663143,0.0,3.0,-1.2800197082663143,0.0,6.0
3.0,0.0,3.0,3.0,0.0,5.237047188445432
3.0,0.0,3.0,3.0,3.0,3.0
3.0,3.0,3.0,3.0,3.0,5.237047188445432
3.0,0.0,5.237047188445432,3.0,3.0,5.237047188445432
3.0,3.0,3.0,3.0,3.0,5.237047188445432
3.0,3.0,3.0,-1.2800197082663143,3.0,3.0
-1.2800197082663143,3.0,3.0,-1.2800197082663143,3.0,6.0
3.0,3.0,5.237047188445432,-1.2800197082663143,3.0,6.0
-1.2800197082663143,0.0,3.0,-1.2800197082663143,0.0,6.0
-1.2800197082663143,3.0,3.0,-1.2800197082663143,3.0,6.0
-1.2800197082663143,3.0,3.0,-1.2800197082663143,0.0,3.0
-1.2800197082663143,3.0,6.0,-1.2800197082663143,0.0,6.0
-1.2800197082663143,0.0,3.0,3.0,0.0,3.0
3.0,0.0,3.0,3.0,3.0,3.0
3.0,3.0,3.0,-1.2800197082663143,3.0,3.0
-1.2800197082663143,3.0,3.0,-1.2800197082663143,0.0,3.0
-1.2800197082663143,0.0,6.0,3.0,0.0,5.237047188445432
3.0,0.0,5.237047188445432,3.0,3.0,5.237047188445432
3.0,3.0,5.237047188445432,-1.2800197082663143,3.0,6.0
-1.2800197082663143,3.0,6.0,-1.2800197082663143,0.0,6.0
-2.000000000000001,-3.552713678800501e-15,1.4210854715202005e-15,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,3.0
-2.0,-3.552713678800501e-15,3.0000000000000018,0.0,0.0,3.0
-2.000000000000001,-3.552713678800501e-15,1.4210854715202005e-15,-2.0,-3.552713678800501e-15,3.0000000000000018
0.0,0.0,0.0,0.0,0.0,3.0
0.0,0.0,0.0,0.0,3.0,0.0
0.0,3.0,0.0,0.0,3.0,3.0
0.0,0.0,3.0,0.0,3.0,3.0
0.0,3.0,0.0,0.0,3.0,3.0
0.0,3.0,0.0,-3.0,3.0,0.0
-3.0,3.0,0.0,-3.0,3.0,3.0
0.0,3.0,3.0,-3.0,3.0,3.0
-3.0,3.0,0.0,-3.0,3.0,3.0
-3.0,3.0,0.0,-3.0,1.0000000000000036,7.105427357601002e-16
-3.0,3.0,3.0,-3.0,1.0,3.0000000000000018
-3.0,1.0000000000000036,7.105427357601002e-16,-3.0,1.0,3.0000000000000018
-2.000000000000001,-3.552713678800501e-15,1.4210854715202005e-15,0.0,0.0,0.0
0.0,0.0,0.0,0.0,3.0,0.0
0.0,3.0,0.0,-3.0,3.0,0.0
-3.0,3.0,0.0,-3.0,1.0000000000000036,7.105427357601002e-16
-3.0,1.0000000000000036,7.105427357601002e-16,-2.000000000000001,-3.552713678800501e-15,1.4210854715202005e-15
-2.0,-3.552713678800501e-15,3.0000000000000018,0.0,0.0,3.0
0.0,0.0,3.0,0.0,3.0,3.0
0.0,3.0,3.0,-3.0,3.0,3.0
-3.0,3.0,3.0,-3.0,1.0,3.0000000000000018
-3.0,1.0,3.0000000000000018,-2.0,-3.552713678800501e-15,3.0000000000000018
-2.000000000000001,-3.552713678800501e-15,1.4210854715202005e-15,-2.0,-3.552713678800501e-15,3.0000000000000018
-3.0,1.0000000000000036,7.105427357601002e-16,-3.0,1.0,3.0000000000000018
-3.0,1.0000000000000036,7.105427357601002e-16,-2.000000000000001,-3.552713678800501e-15,1.4210854715202005e-15
-3.0,1.0,3.0000000000000018,-2.0,-3.552713678800501e-15,3.0000000000000018
0.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,3.0,3.0,3.0,6.0
0.0,3.0,6.0,3.0,3.0,6.0
0.0,3.0,3.0,0.0,3.0,6.0
3.0,3.0,3.0,3.0,3.0,6.0
3.0,3.0,3.0,3.0,6.0,3.0
3.0,6.0,3.0,3.0,6.0,5.200141127928536
3.0,3.0,6.0,3.0,6.0,5.200141127928536
3.0,6.0,3.0,3.0,6.0,5.200141127928536
3.0,6.0,3.0,0.0,6.0,3.0
0.0,6.0,3.0,0.0,6.0,5.200141127928536
3.0,6.0,5.200141127928536,0.0,6.0,5.200141127928536
0.0,3.0,3.0,0.0,3.0,6.0
0.0,6.0,3.0,0.0,6.0,5.200141127928536
0.0,6.0,3.0,0.0,3.0,3.0
0.0,6.0,5.200141127928536,0.0,3.0,6.0
0.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,3.0,3.0,6.0,3.0
3.0,6.0,3.0,0.0,6.0,3.0
0.0,6.0,3.0,0.0,3.0,3.0
0.0,3.0,6.0,3.0,3.0,6.0
3.0,3.0,6.0,3.0,6.0,5.200141127928536
3.0,6.0,5.200141127928536,0.0,6.0,5.200141127928536
0.0,6.0,5.200141127928536,0.0,3.0,6.0
