ID,i_node,j_node,length
B0,N58,N40,3.421
B1,N59,N41,3.421
B2,N67,N87,3.008
B3,N68,N7,3.008
B4,N10,N16,3.421
B5,N11,N17,3.421
B6,N49,N61,3.421
B7,N50,N62,3.421
B8,N88,N89,2.485
B9,N90,N91,2.485
B10,N79,N22,3.26
B11,N80,N23,3.26
B12,N67,N52,5.091
B13,N68,N53,5.091
B14,N31,N92,2.56
B15,N32,N93,2.56
B16,N73,N19,4.219
B17,N74,N20,4.219
B18,N94,N37,1.779
B19,N95,N38,1.779
B20,N43,N22,2.485
B21,N44,N23,2.485
B22,N96,N97,1.81
B23,N98,N99,1.81
B24,N100,N43,4.176
B25,N101,N44,4.176
B26,N97,N85,3.009
B27,N99,N86,3.009
B28,N1,N102,3.009
B29,N2,N103,3.009
B30,N73,N25,4.511
B31,N74,N26,4.511
B32,N100,N104,2.485
B33,N101,N105,2.485
B34,N28,N82,4.511
B35,N29,N83,4.511
B36,N7,N43,5.091
B37,N8,N44,5.091
B38,N89,N104,4.176
B39,N91,N105,4.176
B40,N64,N34,3.421
B41,N65,N35,3.421
B42,N76,N37,2.56
B43,N77,N38,2.56
B44,N70,N82,4.219
B45,N71,N83,4.219
B46,N19,N70,4.511
B47,N20,N71,4.511
B48,N28,N46,1.992
B49,N29,N47,1.992
B50,N34,N46,3.421
B51,N35,N47,3.421
B52,N106,N4,2.426
B53,N107,N5,2.426
B54,N40,N34,3.26
B55,N41,N35,3.26
B56,N79,N1,1.81
B57,N80,N2,1.81
B58,N108,N109,1.779
B59,N110,N111,1.779
B60,N16,N61,3.26
B61,N17,N62,3.26
B62,N19,N28,4.219
B63,N20,N29,4.219
B64,N58,N64,3.26
B65,N59,N65,3.26
B66,N85,N102,5.091
B67,N86,N103,5.091
B68,N112,N55,2.426
B69,N113,N56,2.426
B70,N114,N13,1.992
B71,N115,N14,1.992
B72,N4,N55,2.485
B73,N5,N56,2.485
B74,N40,N109,3.421
B75,N41,N111,3.421
B76,N92,N37,2.976
B77,N93,N38,2.976
B78,N52,N116,3.008
B79,N53,N43,3.008
B80,N25,N70,4.219
B81,N26,N71,4.219
B82,N104,N22,4.176
B83,N105,N23,4.176
B84,N88,N100,4.176
B85,N90,N101,4.176
B86,N28,N114,3.617
B87,N29,N115,3.617
B88,N46,N13,3.617
B89,N47,N14,3.617
B90,N37,N109,1.87
B91,N38,N111,1.87
B92,N22,N49,3.421
B93,N23,N50,3.421
B94,N94,N108,1.87
B95,N95,N110,1.87
B96,N10,N49,3.26
B97,N11,N50,3.26
B98,N97,N1,5.091
B99,N99,N2,5.091
B100,N31,N76,2.976
B101,N32,N77,2.976
B102,N79,N10,3.421
B103,N80,N11,3.421
B104,N109,N46,3.26
B105,N111,N47,3.26
B106,N96,N79,5.091
B107,N98,N80,5.091
