ID,i_node,j_node,length
C0,N0,N1,2.5
C1,N1,N2,2.5
C2,N3,N4,2.5
C3,N4,N5,2.5
C4,N6,N7,2.5
C5,N7,N8,2.5
C6,N8,N9,7.5
C7,N10,N11,2.5
C8,N11,N12,2.5
C9,N12,N13,7.5
C10,N14,N15,2.5
C11,N15,N16,2.5
C12,N16,N17,7.5
C13,N18,N19,2.5
C14,N19,N20,2.5
C15,N21,N22,2.5
C16,N22,N23,2.5
C17,N24,N25,2.5
C18,N25,N26,2.5
C19,N27,N28,2.5
C20,N28,N29,2.5
C21,N30,N31,2.5
C22,N32,N33,2.5
C23,N33,N34,2.5
C24,N34,N35,7.5
C25,N36,N37,2.5
C26,N37,N38,2.5
C27,N38,N39,7.5
C28,N40,N41,2.5
C29,N42,N43,2.5
C30,N43,N44,2.5
C31,N45,N46,2.5
C32,N47,N48,2.5
C33,N48,N49,2.5
C34,N50,N51,2.5
C35,N51,N52,2.5
C36,N53,N54,2.5
C37,N54,N55,2.5
C38,N56,N57,2.5
C39,N58,N59,2.5
C40,N60,N61,2.5
C41,N61,N62,2.5
C42,N62,N63,7.5
C43,N64,N65,2.5
C44,N65,N66,2.5
C45,N67,N68,2.5
C46,N68,N69,2.5
C47,N70,N71,2.5
C48,N71,N72,2.5
C49,N72,N73,7.5
C50,N74,N75,2.5
C51,N76,N77,2.5
C52,N78,N79,2.5
C53,N80,N81,2.5
C54,N82,N83,2.5
C55,N83,N84,2.5
