ID,i_node,j_node,length
B0,N1,N3,4.511
B1,N55,N57,4.511
B2,N5,N7,4.511
B3,N1,N5,8.439
B4,N3,N7,8.439
B5,N9,N58,6.842
B6,N13,N17,6.842
B7,N9,N13,3.26
B8,N11,N15,3.26
B9,N58,N17,3.26
B10,N19,N23,6.842
B11,N25,N29,6.842
B12,N19,N25,3.26
B13,N21,N27,3.26
B14,N23,N29,3.26
B15,N59,N60,2.485
B16,N61,N62,2.485
B17,N31,N25,2.485
B18,N59,N31,8.351
B19,N60,N25,8.351
B20,N63,N35,3.009
B21,N33,N64,3.009
B22,N63,N33,5.091
B23,N35,N64,5.091
B24,N37,N39,3.008
B25,N41,N31,3.008
B26,N37,N41,5.091
B27,N39,N31,5.091
B28,N60,N63,1.81
B29,N19,N33,1.81
B30,N60,N19,5.091
B31,N63,N33,5.091
B32,N43,N47,2.976
B33,N65,N45,2.976
B34,N43,N65,2.56
B35,N47,N45,2.56
B36,N5,N66,3.617
B37,N17,N49,3.617
B38,N5,N17,1.992
B39,N66,N49,1.992
B40,N31,N25,2.485
B41,N51,N53,2.485
B42,N31,N51,2.426
B43,N25,N53,2.426
B44,N67,N68,1.87
B45,N45,N58,1.87
B46,N67,N45,1.779
B47,N68,N58,1.779
