ID,i_node,j_node,length
C0,N0,N1,2.8
C1,N2,N3,2.6
C2,N4,N5,2.8
C3,N6,N7,2.6
C4,N8,N9,2.8
C5,N10,N11,2.6
C6,N12,N13,2.8
C7,N14,N15,2.6
C8,N16,N17,2.024
C9,N18,N19,1.824
C10,N20,N21,2.8
C11,N22,N23,2.6
C12,N24,N25,2.8
C13,N26,N27,2.6
C14,N28,N29,2.8
C15,N30,N31,2.6
C16,N32,N33,2.8
C17,N34,N35,2.6
C18,N36,N37,2.8
C19,N38,N39,2.6
C20,N40,N41,2.8
C21,N42,N43,2.6
C22,N44,N45,2.8
C23,N46,N47,2.6
C24,N48,N49,2.8
C25,N50,N51,2.6
C26,N52,N53,2.8
C27,N54,N55,2.6
C28,N56,N57,2.8
C29,N58,N59,2.6
C30,N60,N61,2.8
C31,N62,N63,2.6
C32,N64,N65,2.8
C33,N66,N67,2.6
C34,N68,N69,2.8
C35,N70,N71,2.6
C36,N72,N73,2.024
C37,N74,N75,1.824
C38,N76,N77,2.8
C39,N78,N79,2.6
C40,N80,N81,2.8
C41,N82,N83,2.6
C42,N84,N85,2.8
C43,N86,N87,2.6
C44,N88,N89,2.8
C45,N90,N91,2.6
C46,N92,N93,2.8
C47,N94,N95,2.6
C48,N96,N97,2.8
C49,N98,N99,2.6
C50,N100,N101,2.8
C51,N102,N103,2.6
C52,N104,N105,2.8
C53,N106,N107,2.6
C54,N108,N109,1.3
C55,N110,N111,1.1
C56,N112,N113,1.3
C57,N114,N115,1.1
