ID,i_node,j_node,length
B0,N1,N10,12.349
B1,N2,N11,12.349
B2,N13,N19,12.349
B3,N14,N20,12.349
B4,N1,N13,5.091
B5,N2,N14,5.091
B6,N4,N55,5.091
B7,N5,N56,5.091
B8,N7,N16,5.091
B9,N8,N17,5.091
B10,N10,N19,5.091
B11,N11,N20,5.091
B12,N22,N58,6.842
B13,N23,N59,6.842
B14,N28,N34,6.842
B15,N29,N35,6.842
B16,N22,N28,3.26
B17,N23,N29,3.26
B18,N25,N31,3.26
B19,N26,N32,3.26
B20,N58,N34,3.26
B21,N59,N35,3.26
B22,N37,N43,2.485
B23,N38,N44,2.485
B24,N60,N61,2.485
B25,N62,N63,2.485
B26,N40,N64,2.485
B27,N41,N65,2.485
B28,N66,N40,8.351
B29,N67,N41,8.351
B30,N43,N68,8.351
B31,N44,N69,8.351
B32,N46,N49,3.009
B33,N47,N50,3.009
B34,N52,N40,3.009
B35,N53,N41,3.009
B36,N46,N52,5.091
B37,N47,N53,5.091
B38,N49,N40,5.091
B39,N50,N41,5.091
