ID,X,Y,Z
N0,-5.05222,6.28534,0.0
N1,-5.05222,6.28534,1.50978
N2,-5.05222,6.28534,3.01957
N3,-5.05222,10.40152,0.0
N4,-5.05222,10.40152,1.50978
N5,-5.05222,10.40152,3.01957
N6,-5.05222,14.51771,0.0
N7,-5.05222,14.51771,1.50978
N8,-5.05222,14.51771,3.01957
N9,-5.05222,18.6339,0.0
N10,-5.05222,18.6339,1.50978
N11,-5.05222,18.6339,3.01957
N12,0.03848,6.28534,0.0
N13,0.03848,6.28534,1.50978
N14,0.03848,6.28534,3.01957
N15,0.03848,14.51771,0.0
N16,0.03848,14.51771,1.50978
N17,0.03848,14.51771,3.01957
N18,0.03848,18.6339,0.0
N19,0.03848,18.6339,1.50978
N20,0.03848,18.6339,3.01957
N21,8.35117,4.34596,0.0
N22,8.35117,4.34596,3.01957
N23,8.35117,4.34596,6.03913
N24,8.35117,7.76675,0.0
N25,8.35117,7.76675,3.01957
N26,8.35117,7.76675,6.03913
N27,11.61164,4.34596,0.0
N28,11.61164,4.34596,3.01957
N29,11.61164,4.34596,6.03913
N30,11.61164,7.76675,0.0
N31,11.61164,7.76675,3.01957
N32,11.61164,7.76675,6.03913
N33,11.61164,11.18753,0.0
N34,11.61164,11.18753,3.01957
N35,11.61164,11.18753,6.03913
N36,3.26047,1.86102,0.0
N37,3.26047,1.86102,2.22743
N38,3.26047,1.86102,4.45486
N39,11.61164,1.86102,0.0
N40,11.61164,1.86102,1.51957
N41,11.61164,1.86102,3.03913
N42,3.26047,4.34596,0.0
N43,3.26047,4.34596,2.22743
N44,3.26047,4.34596,4.45486
N45,6.52094,-1.14749,0.0
N46,6.52094,-1.14749,1.51957
N47,6.52094,-1.14749,3.03913
N48,6.52094,1.86102,0.0
N49,6.52094,1.86102,1.51957
N50,6.52094,1.86102,3.03913
N51,11.61164,-1.14749,0.0
N52,11.61164,-1.14749,1.51957
N53,11.61164,-1.14749,3.03913
N54,0.03848,10.40152,0.0
N55,0.03848,10.40152,1.50978
N56,0.03848,10.40152,3.01957
N57,8.35117,11.18753,0.0
N58,8.35117,11.18753,3.01957
N59,8.35117,11.18753,6.03913
N60,7.43605,1.86102,1.51957
N61,7.43605,4.34596,1.51957
N62,7.43605,1.86102,3.03913
N63,7.43605,4.34596,3.03913
N64,11.61164,4.34596,1.51957
N65,11.61164,4.34596,3.03913
N66,3.26047,1.86102,1.51957
N67,3.26047,1.86102,3.03913
N68,11.61164,4.34596,2.22743
N69,11.61164,4.34596,4.45486
