ID,X,Y,Z
N0,-2.56049,4.97135,0.2
N1,-2.56049,4.97135,3.0
N2,-2.56049,4.97135,3.2
N3,-2.56049,4.97135,5.8
N4,3.26047,10.45891,0.2
N5,3.26047,10.45891,3.0
N6,3.26047,10.45891,3.2
N7,3.26047,10.45891,5.8
N8,8.35117,3.8317,0.2
N9,8.35117,3.8317,3.0
N10,8.35117,3.8317,3.2
N11,8.35117,3.8317,5.8
N12,1.26799,11.35236,0.2
N13,1.26799,11.35236,3.0
N14,1.26799,11.35236,3.2
N15,1.26799,11.35236,5.8
N16,14.03746,3.8317,0.2
N17,14.03746,3.8317,2.22414
N18,14.03746,3.8317,2.42414
N19,14.03746,3.8317,4.24829
N20,-7.17073,6.84157,0.2
N21,-7.17073,6.84157,3.0
N22,-7.17073,6.84157,3.2
N23,-7.17073,6.84157,5.8
N24,11.61164,1.34675,0.2
N25,11.61164,1.34675,3.0
N26,11.61164,1.34675,3.2
N27,11.61164,1.34675,5.8
N28,-2.95137,6.84157,0.2
N29,-2.95137,6.84157,3.0
N30,-2.95137,6.84157,3.2
N31,-2.95137,6.84157,5.8
N32,6.52094,1.34675,0.2
N33,6.52094,1.34675,3.0
N34,6.52094,1.34675,3.2
N35,6.52094,1.34675,5.8
N36,3.26047,0.0,0.2
N37,3.26047,0.0,3.0
N38,3.26047,0.0,3.2
N39,3.26047,0.0,5.8
N40,3.26047,3.42078,0.2
N41,3.26047,3.42078,3.0
N42,3.26047,3.42078,3.2
N43,3.26047,3.42078,5.8
N44,3.26047,6.84157,0.2
N45,3.26047,6.84157,3.0
N46,3.26047,6.84157,3.2
N47,3.26047,6.84157,5.8
N48,8.35117,5.64173,0.2
N49,8.35117,5.64173,3.0
N50,8.35117,5.64173,3.2
N51,8.35117,5.64173,5.8
N52,11.61164,7.25248,0.2
N53,11.61164,7.25248,3.0
N54,11.61164,7.25248,3.2
N55,11.61164,7.25248,5.8
N56,-2.56049,1.99519,0.2
N57,-2.56049,1.99519,3.0
N58,-2.56049,1.99519,3.2
N59,-2.56049,1.99519,5.8
N60,11.61164,10.67327,0.2
N61,11.61164,10.67327,3.0
N62,11.61164,10.67327,3.2
N63,11.61164,10.67327,5.8
N64,0.0,4.97135,0.2
N65,0.0,4.97135,3.0
N66,0.0,4.97135,3.2
N67,0.0,4.97135,5.8
N68,-7.17073,11.35236,0.2
N69,-7.17073,11.35236,3.0
N70,-7.17073,11.35236,3.2
N71,-7.17073,11.35236,5.8
N72,14.03746,1.34675,0.2
N73,14.03746,1.34675,2.22414
N74,14.03746,1.34675,2.42414
N75,14.03746,1.34675,4.24829
N76,-2.95137,11.35236,0.2
N77,-2.95137,11.35236,3.0
N78,-2.95137,11.35236,3.2
N79,-2.95137,11.35236,5.8
N80,3.26047,8.65024,0.2
N81,3.26047,8.65024,3.0
N82,3.26047,8.65024,3.2
N83,3.26047,8.65024,5.8
N84,1.26799,6.84157,0.2
N85,1.26799,6.84157,3.0
N86,1.26799,6.84157,3.2
N87,1.26799,6.84157,5.8
N88,8.35117,7.25248,0.2
N89,8.35117,7.25248,3.0
N90,8.35117,7.25248,3.2
N91,8.35117,7.25248,5.8
N92,0.0,0.0,0.2
N93,0.0,0.0,3.0
N94,0.0,0.0,3.2
N95,0.0,0.0,5.8
N96,11.61164,3.8317,0.2
N97,11.61164,3.8317,3.0
N98,11.61164,3.8317,3.2
N99,11.61164,3.8317,5.8
N100,8.35117,10.67327,0.2
N101,8.35117,10.67327,3.0
N102,8.35117,10.67327,3.2
N103,8.35117,10.67327,5.8
N104,0.0,3.42078,0.2
N105,0.0,3.42078,3.0
N106,0.0,3.42078,3.2
N107,0.0,3.42078,5.8
N108,11.61164,-1.66175,0.2
N109,11.61164,-1.66175,1.5
N110,11.61164,-1.66175,1.7
N111,11.61164,-1.66175,2.8
N112,6.52094,-1.66175,0.2
N113,6.52094,-1.66175,1.5
N114,6.52094,-1.66175,1.7
N115,6.52094,-1.66175,2.8
N116,-7.17073,6.84157,6.0
N117,-7.17073,11.35236,6.0
N118,-2.95137,6.84157,6.0
N119,-2.95137,11.35236,6.0
N120,1.26799,6.84157,6.0
N121,1.26799,11.35236,6.0
N122,1.26799,6.84257,0.2
N123,1.26799,6.84257,3.2
N124,1.26799,6.84257,6.0
N125,1.26799,10.45991,0.2
N126,1.26799,10.45991,3.2
N127,1.26799,10.45991,6.0
N128,-0.001,6.84157,0.2
N129,-0.001,6.84157,3.2
N130,-0.001,6.84157,6.0
N131,1.26699,6.84157,0.2
N132,1.26699,6.84157,3.2
N133,1.26699,6.84157,6.0
N134,-1.78004,6.84157,0.2
N135,0.001,6.84157,0.2
N136,-1.78004,6.84157,3.2
N137,0.001,6.84157,3.2
N138,-1.78004,6.84157,6.0
N139,0.001,6.84157,6.0
N140,0.0,6.84057,0.2
N141,0.0,6.84157,0.2
N142,0.0,6.84057,3.2
N143,0.0,6.84157,3.2
N144,0.0,6.84057,6.0
N145,0.0,6.84157,6.0
N146,0.0,0.0,6.0
N147,0.0,1.99419,0.2
N148,0.0,4.97235,0.2
N149,0.0,1.99419,3.2
N150,0.0,4.97235,3.2
N151,0.0,1.99419,6.0
N152,0.0,4.97235,6.0
N153,0.0,4.97035,0.2
N154,0.0,4.97035,3.2
N155,0.0,4.97035,6.0
N156,3.26047,0.0,6.0
N157,3.26047,6.84157,6.0
N158,3.26047,1.34575,0.2
N159,3.26047,3.8327,0.2
N160,3.26047,1.34575,3.2
N161,3.26047,3.8327,3.2
N162,3.26047,1.34575,6.0
N163,3.26047,3.8327,6.0
N164,3.26047,5.64073,0.2
N165,3.26047,5.64073,3.2
