ID,i_node,j_node
B0,N1,N5
B1,N3,N7
B2,N9,N13
B3,N11,N15
B4,N17,N21
B5,N17,N116
B6,N19,N23
B7,N19,N117
B8,N1,N17
B9,N118,N17
B10,N119,N118
B11,N3,N19
B12,N120,N19
B13,N121,N120
B14,N5,N21
B15,N7,N23
B16,N25,N118
B17,N122,N97
B18,N97,N118
B19,N27,N120
B20,N123,N99
B21,N99,N120
B22,N33,N41
B23,N124,N125
B24,N126,N41
B25,N125,N126
B26,N35,N43
B27,N127,N128
B28,N129,N43
B29,N128,N129
B30,N25,N33
B31,N27,N35
B32,N29,N37
B33,N31,N39
B34,N118,N17
B35,N118,N41
B36,N17,N41
B37,N120,N19
B38,N120,N43
B39,N19,N43
B40,N45,N53
B41,N73,N130
B42,N45,N73
B43,N47,N55
B44,N75,N131
B45,N47,N75
B46,N57,N65
B47,N59,N67
B48,N45,N57
B49,N45,N57
B50,N47,N59
B51,N47,N59
B52,N49,N61
B53,N51,N63
B54,N53,N65
B55,N55,N67
B56,N124,N125
B57,N124,N125
B58,N127,N128
B59,N127,N128
B60,N132,N133
B61,N134,N135
B62,N69,N57
B63,N136,N137
B64,N71,N59
B65,N138,N139
B66,N124,N69
B67,N140,N141
B68,N127,N71
B69,N142,N143
B70,N45,N57
B71,N125,N57
B72,N125,N45
B73,N47,N59
B74,N128,N59
B75,N128,N47
B76,N126,N41
B77,N126,N77
B78,N41,N77
B79,N129,N43
B80,N129,N79
B81,N43,N79
B82,N73,N130
B83,N73,N130
B84,N75,N131
B85,N75,N131
B86,N126,N73
B87,N126,N73
B88,N129,N75
B89,N129,N75
B90,N77,N130
B91,N79,N131
B92,N81,N140
B93,N83,N142
B94,N89,N141
B95,N91,N143
B96,N81,N89
B97,N83,N91
B98,N85,N69
B99,N140,N141
B100,N87,N71
B101,N142,N143
B102,N125,N126
B103,N125,N126
B104,N128,N129
B105,N128,N129
B106,N45,N73
B107,N45,N73
B108,N47,N75
B109,N47,N75
B110,N125,N45
B111,N125,N45
B112,N128,N47
B113,N128,N47
B114,N126,N73
B115,N126,N73
B116,N129,N75
B117,N129,N75
B118,N93,N101
B119,N95,N103
B120,N122,N97
B121,N122,N97
B122,N123,N99
B123,N123,N99
B124,N93,N122
B125,N95,N123
B126,N101,N97
B127,N144,N97
B128,N103,N99
B129,N145,N99
B130,N17,N116
B131,N17,N116
B132,N19,N117
B133,N19,N117
B134,N41,N77
B135,N41,N105
B136,N43,N79
B137,N43,N107
B138,N17,N41
B139,N17,N41
B140,N19,N43
B141,N19,N43
B142,N116,N105
B143,N117,N107
B144,N69,N57
B145,N136,N137
B146,N71,N59
B147,N138,N139
B148,N109,N113
B149,N111,N115
B150,N136,N109
B151,N138,N111
B152,N137,N113
B153,N139,N115
B154,N144,N119
B155,N145,N121
B156,N97,N118
B157,N97,N118
B158,N99,N120
B159,N99,N120
B160,N144,N97
B161,N144,N97
B162,N145,N99
B163,N145,N99
B164,N119,N118
B165,N119,N118
B166,N121,N120
B167,N121,N120
