ID,X,Y,Z
N0,-7.170734,6.84157,0.2
N1,-7.170734,6.84157,3.0
N2,-7.170734,6.84157,3.2
N3,-7.170734,6.84157,5.8
N4,-7.170734,11.352362,0.2
N5,-7.170734,11.352362,3.0
N6,-7.170734,11.352362,3.2
N7,-7.170734,11.352362,5.8
N8,-2.95137,6.84157,0.2
N9,-2.95137,6.84157,3.0
N10,-2.95137,6.84157,3.2
N11,-2.95137,6.84157,5.8
N12,-2.95137,11.352362,0.2
N13,-2.95137,11.352362,3.0
N14,-2.95137,11.352362,3.2
N15,-2.95137,11.352362,5.8
N16,1.267994,6.84157,0.2
N17,1.267994,6.84157,3.0
N18,1.267994,6.84157,3.2
N19,1.267994,6.84157,5.8
N20,1.267994,11.352362,0.2
N21,1.267994,11.352362,3.0
N22,1.267994,11.352362,3.2
N23,1.267994,11.352362,5.8
N24,0.0,0.0,0.2
N25,0.0,0.0,3.0
N26,0.0,0.0,3.2
N27,0.0,0.0,5.8
N28,0.0,3.420785,0.2
N29,0.0,3.420785,3.0
N30,0.0,3.420785,3.2
N31,0.0,3.420785,5.8
N32,3.260469,0.0,0.2
N33,3.260469,0.0,3.0
N34,3.260469,0.0,3.2
N35,3.260469,0.0,5.8
N36,3.260469,3.420785,0.2
N37,3.260469,3.420785,3.0
N38,3.260469,3.420785,3.2
N39,3.260469,3.420785,5.8
N40,3.260469,6.84157,0.2
N41,3.260469,6.84157,3.0
N42,3.260469,6.84157,3.2
N43,3.260469,6.84157,5.8
N44,8.351168,3.831696,0.2
N45,8.351168,3.831696,3.0
N46,8.351168,3.831696,3.2
N47,8.351168,3.831696,5.8
N48,8.351168,7.252481,0.2
N49,8.351168,7.252481,3.0
N50,8.351168,7.252481,3.2
N51,8.351168,7.252481,5.8
N52,8.351168,10.673265,0.2
N53,8.351168,10.673265,3.0
N54,8.351168,10.673265,3.2
N55,8.351168,10.673265,5.8
N56,11.611636,3.831696,0.2
N57,11.611636,3.831696,3.0
N58,11.611636,3.831696,3.2
N59,11.611636,3.831696,5.8
N60,11.611636,7.252481,0.2
N61,11.611636,7.252481,3.0
N62,11.611636,7.252481,3.2
N63,11.611636,7.252481,5.8
N64,11.611636,10.673265,0.2
N65,11.611636,10.673265,3.0
N66,11.611636,10.673265,3.2
N67,11.611636,10.673265,5.8
N68,11.611636,1.346753,0.2
N69,11.611636,1.346753,3.0
N70,11.611636,1.346753,3.2
N71,11.611636,1.346753,5.8
N72,8.351168,5.641731,0.2
N73,8.351168,5.641731,3.0
N74,8.351168,5.641731,3.2
N75,8.351168,5.641731,5.8
N76,3.260469,8.650237,0.2
N77,3.260469,8.650237,3.0
N78,3.260469,8.650237,3.2
N79,3.260469,8.650237,5.8
N80,6.520937,-1.661754,0.2
N81,6.520937,-1.661754,1.5
N82,6.520937,-1.661754,1.7
N83,6.520937,-1.661754,2.8
N84,6.520937,1.346753,0.2
N85,6.520937,1.346753,3.0
N86,6.520937,1.346753,3.2
N87,6.520937,1.346753,5.8
N88,11.611636,-1.661754,0.2
N89,11.611636,-1.661754,1.5
N90,11.611636,-1.661754,1.7
N91,11.611636,-1.661754,2.8
N92,-2.560493,1.995189,0.2
N93,-2.560493,1.995189,3.0
N94,-2.560493,1.995189,3.2
N95,-2.560493,1.995189,5.8
N96,0.0,4.971346,0.2
N97,0.0,4.971346,3.0
N98,0.0,4.971346,3.2
N99,0.0,4.971346,5.8
N100,-2.560493,4.971346,0.2
N101,-2.560493,4.971346,3.0
N102,-2.560493,4.971346,3.2
N103,-2.560493,4.971346,5.8
N104,3.260469,10.458905,0.2
N105,3.260469,10.458905,3.0
N106,3.260469,10.458905,3.2
N107,3.260469,10.458905,5.8
N108,14.037456,1.346753,0.2
N109,14.037456,1.346753,2.224145
N110,14.037456,1.346753,2.424145
N111,14.037456,1.346753,4.24829
N112,14.037456,3.831696,0.2
N113,14.037456,3.831696,2.224145
N114,14.037456,3.831696,2.424145
N115,14.037456,3.831696,4.24829
N116,1.267994,10.458905,3.0
N117,1.267994,10.458905,5.8
N118,0.0,6.84157,3.0
N119,-1.779044,6.84157,3.0
N120,0.0,6.84157,5.8
N121,-1.779044,6.84157,5.8
N122,0.0,1.995189,3.0
N123,0.0,1.995189,5.8
N124,3.260469,1.346753,3.0
N125,3.260469,3.831696,3.0
N126,3.260469,5.641731,3.0
N127,3.260469,1.346753,5.8
N128,3.260469,3.831696,5.8
N129,3.260469,5.641731,5.8
N130,8.351168,8.650237,3.0
N131,8.351168,8.650237,5.8
N132,7.436053,1.346753,3.0
N133,7.436053,3.831696,3.0
N134,7.436053,1.346753,5.8
N135,7.436053,3.831696,5.8
N136,11.611636,1.346753,2.224145
N137,11.611636,3.831696,2.224145
N138,11.611636,1.346753,4.24829
N139,11.611636,3.831696,4.24829
N140,6.520937,1.346753,1.5
N141,11.611636,1.346753,1.5
N142,6.520937,1.346753,2.8
N143,11.611636,1.346753,2.8
N144,-1.779044,4.971346,3.0
N145,-1.779044,4.971346,5.8
