ID,i_node,j_node,length
C0,N0,N1,0.831
C1,N1,N2,0.831
C2,N3,N4,0.831
C3,N4,N5,0.831
C4,N6,N7,0.831
C5,N7,N8,0.831
C6,N9,N10,0.831
C7,N10,N11,0.831
C8,N12,N13,0.831
C9,N13,N14,0.831
C10,N15,N16,0.831
C11,N16,N17,0.831
C12,N18,N19,0.831
C13,N19,N20,0.831
C14,N21,N22,0.831
C15,N22,N23,0.831
C16,N24,N25,0.831
C17,N25,N26,0.831
C18,N27,N28,0.831
C19,N28,N29,0.831
C20,N30,N31,0.831
C21,N31,N32,0.831
C22,N33,N34,0.831
C23,N34,N35,0.831
C24,N36,N37,0.831
C25,N37,N38,0.831
C26,N39,N40,0.831
C27,N40,N41,0.831
C28,N42,N43,0.831
C29,N43,N44,0.831
C30,N45,N46,0.831
C31,N46,N47,0.831
C32,N48,N49,0.831
C33,N49,N50,0.831
C34,N51,N52,0.831
C35,N52,N53,0.831
C36,N54,N55,0.831
C37,N55,N56,0.831
