ID,i_node,j_node,length
B0,N1,N4,4.511
B1,N2,N5,4.511
B2,N7,N10,4.511
B3,N8,N11,4.511
B4,N13,N16,4.511
B5,N14,N17,4.511
B6,N1,N13,8.439
B7,N2,N14,8.439
B8,N4,N16,8.439
B9,N5,N17,8.439
B10,N19,N87,6.842
B11,N20,N88,6.842
B12,N25,N31,6.842
B13,N26,N32,6.842
B14,N19,N25,3.26
B15,N20,N26,3.26
B16,N22,N28,3.26
B17,N23,N29,3.26
B18,N87,N31,3.26
B19,N88,N32,3.26
B20,N34,N40,6.842
B21,N35,N41,6.842
B22,N43,N49,6.842
B23,N44,N50,6.842
B24,N34,N43,3.26
B25,N35,N44,3.26
B26,N37,N46,3.26
B27,N38,N47,3.26
B28,N40,N49,3.26
B29,N41,N50,3.26
B30,N89,N90,2.485
B31,N91,N92,2.485
B32,N93,N94,2.485
B33,N95,N96,2.485
B34,N52,N43,2.485
B35,N53,N44,2.485
B36,N89,N52,8.351
B37,N91,N53,8.351
B38,N90,N43,8.351
B39,N92,N44,8.351
B40,N97,N58,3.009
B41,N98,N59,3.009
B42,N55,N99,3.009
B43,N56,N100,3.009
B44,N97,N55,5.091
B45,N98,N56,5.091
B46,N58,N99,5.091
B47,N59,N100,5.091
B48,N61,N101,3.008
B49,N62,N64,3.008
B50,N67,N102,3.008
B51,N68,N52,3.008
B52,N61,N67,5.091
B53,N62,N68,5.091
B54,N64,N52,5.091
B55,N65,N53,5.091
B56,N90,N97,1.81
B57,N92,N98,1.81
B58,N34,N55,1.81
B59,N35,N56,1.81
B60,N90,N34,5.091
B61,N92,N35,5.091
B62,N97,N55,5.091
B63,N98,N56,5.091
B64,N70,N76,2.976
B65,N71,N77,2.976
B66,N103,N73,2.976
B67,N104,N74,2.976
B68,N70,N103,2.56
B69,N71,N104,2.56
B70,N76,N73,2.56
B71,N77,N74,2.56
B72,N13,N105,3.617
B73,N14,N106,3.617
B74,N31,N79,3.617
B75,N32,N80,3.617
B76,N13,N31,1.992
B77,N14,N32,1.992
B78,N105,N79,1.992
B79,N106,N80,1.992
B80,N52,N43,2.485
B81,N53,N44,2.485
B82,N82,N85,2.485
B83,N83,N86,2.485
B84,N107,N82,2.426
B85,N108,N83,2.426
B86,N109,N85,2.426
B87,N110,N86,2.426
B88,N111,N112,1.87
B89,N113,N114,1.87
B90,N73,N87,1.87
B91,N74,N88,1.87
B92,N111,N73,1.779
B93,N113,N74,1.779
B94,N112,N87,1.779
B95,N114,N88,1.779
